SHRP_ID,STATE_CODE,YEAR,HPMS16_CRACKING_PERCENT_JPCC,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR,MAX_ANN_HUM_AVG,MIN_ANN_HUM_AVG,CONSTRUCTION_NO,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND,REPR_THICKNESS
85,12,2003.0,21.0,21.89999962,0.0,4.0,95.0,57.0,1,397.0,144905.0,8.0
85,12,1993.0,17.0,21.29999924,0.0,3.0,97.0,56.0,1,176.0,64240.0,8.0
85,12,2008.0,37.0,21.89999962,0.0,1.0,87.0,50.0,2,460.0,168360.0,8.0
85,12,2000.0,29.0,21.5,0.0,4.0,95.0,52.0,2,327.0,119682.0,8.0
85,12,1997.0,25.0,22.0,0.0,2.0,97.0,56.0,2,299.0,109135.0,8.0
85,12,2006.0,26.0,22.0,0.0,3.0,87.0,46.0,2,434.0,158410.0,8.0
85,12,2003.0,21.0,21.89999962,0.0,4.0,95.0,57.0,2,397.0,144905.0,8.0
85,12,1993.0,17.0,21.29999924,0.0,3.0,97.0,56.0,2,176.0,21472.0,8.0
85,12,2008.0,37.0,21.89999962,0.0,1.0,87.0,50.0,3,460.0,168360.0,8.0
85,12,2000.0,29.0,21.5,0.0,4.0,95.0,52.0,3,327.0,119682.0,8.0
85,12,2006.0,26.0,22.0,0.0,3.0,87.0,46.0,3,434.0,158410.0,8.0
85,12,2003.0,21.0,21.89999962,0.0,4.0,95.0,57.0,3,397.0,144905.0,8.0
85,12,2008.0,37.0,21.89999962,0.0,1.0,87.0,50.0,4,460.0,168360.0,8.0
85,12,2006.0,26.0,22.0,0.0,3.0,87.0,46.0,4,434.0,158410.0,8.0
85,12,2003.0,21.0,21.89999962,0.0,4.0,95.0,57.0,4,397.0,144905.0,8.0
85,12,2008.0,37.0,21.89999962,0.0,1.0,87.0,50.0,5,460.0,168360.0,8.0
85,12,2006.0,26.0,22.0,0.0,3.0,87.0,46.0,5,434.0,158410.0,8.0
52,12,2008.0,0.0,21.60000038,0.0,2.0,87.0,50.0,1,264.0,96624.0,8.300000191
52,12,2005.0,0.0,21.29999924,0.0,1.0,90.0,54.0,1,387.0,141255.0,8.300000191
52,12,1991.0,0.0,21.89999962,0.0,2.0,95.0,56.0,1,165.0,60225.0,8.300000191
52,12,1991.0,0.0,21.89999962,0.0,2.0,95.0,56.0,1,165.0,60225.0,8.300000191
52,12,1997.0,0.0,22.0,0.0,2.0,97.0,56.0,1,223.0,81395.0,8.300000191
52,12,2002.0,0.0,21.89999962,0.0,2.0,95.0,57.0,1,363.0,132495.0,8.300000191
52,12,2006.0,0.0,21.79999924,0.0,3.0,87.0,46.0,1,291.0,106215.0,8.300000191
52,12,1999.0,0.0,21.89999962,0.0,1.0,95.0,53.0,1,256.0,93440.0,8.300000191
52,12,1993.0,0.0,21.10000038,0.0,3.0,97.0,56.0,1,176.0,64240.0,8.300000191
52,12,2008.0,0.0,21.60000038,0.0,2.0,87.0,50.0,2,264.0,96624.0,8.300000191
52,12,2005.0,0.0,21.29999924,0.0,1.0,90.0,54.0,2,387.0,141255.0,8.300000191
52,12,1997.0,0.0,22.0,0.0,2.0,97.0,56.0,2,223.0,23861.0,8.300000191
52,12,2002.0,0.0,21.89999962,0.0,2.0,95.0,57.0,2,363.0,132495.0,8.300000191
52,12,2006.0,0.0,21.79999924,0.0,3.0,87.0,46.0,2,291.0,106215.0,8.300000191
52,12,1999.0,0.0,21.89999962,0.0,1.0,95.0,53.0,2,256.0,93440.0,8.300000191
23,13,2009.0,0.0,18.0,5.0,38.0,92.0,49.0,1,697.0,254405.0,10.0
23,13,1994.0,0.0,19.5,3.0,19.0,96.0,51.0,1,510.0,186150.0,10.0
23,13,2005.0,4.0,19.0,1.0,27.0,88.0,43.0,1,484.0,176660.0,10.0
23,13,1991.0,0.0,20.0,1.0,20.0,95.0,50.0,1,137.0,50005.0,10.0
23,13,1991.0,0.0,20.0,1.0,20.0,95.0,50.0,1,137.0,50005.0,10.0
23,13,1997.0,0.0,19.29999924,1.0,17.0,97.0,50.0,1,631.0,230315.0,10.0
23,13,2002.0,4.0,19.20000076,3.0,36.0,94.0,48.0,1,443.0,161695.0,10.0
23,13,1999.0,4.0,19.89999962,3.0,23.0,96.0,46.0,1,406.0,148190.0,10.0
23,13,1993.0,0.0,19.29999924,0.0,19.0,92.0,42.0,1,192.0,70080.0,10.0
23,13,2007.0,0.0,19.5,0.0,26.0,89.0,41.0,1,514.0,187610.0,10.0
23,13,2009.0,0.0,18.0,5.0,38.0,92.0,49.0,2,697.0,254405.0,10.0
23,13,2007.0,0.0,19.5,0.0,26.0,89.0,41.0,2,514.0,187610.0,10.0
84,12,2009.0,0.0,22.29999924,0.0,5.0,94.0,52.0,1,149.0,54385.0,7.0
84,12,1991.0,0.0,22.5,0.0,2.0,95.0,55.0,1,109.0,39785.0,7.0
84,12,1991.0,0.0,22.5,0.0,2.0,95.0,55.0,1,109.0,39785.0,7.0
