STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC
6,California,3021,01/21/1997,3,3
6,California,3024,02/13/1997,0,0
6,California,3030,03/18/1997,6,31
6,California,3042,07/25/1996,0,0
6,California,7493,01/30/1997,0,0
6,California,9048,01/29/1997,13,21
6,California,A410,01/17/1997,10,9
6,California,A411,01/24/1997,7,6
6,California,A412,01/27/1997,6,6
6,California,A420,01/24/1997,0,0
6,California,A421,01/27/1997,22,21
6,California,A422,01/27/1997,0,0
6,California,A430,01/17/1997,10,9
6,California,A423,01/27/1997,0,0
6,California,A441,01/27/1997,0,0
6,California,A442,01/27/1997,0,0
6,California,A443,01/27/1997,0,0
32,Nevada,0204,03/12/1997,3,57
49,Utah,3011,03/05/1997,0,3
49,Utah,3011,03/17/1997,0,0
32,Nevada,0204,04/17/1997,6,45
53,Washington,0210,05/20/1997,0,0
53,Washington,0259,05/20/1997,0,0
53,Washington,0212,05/21/1997,0,0
53,Washington,3014,04/17/1997,0,0
53,Washington,7409,04/15/1997,0,2
53,Washington,0211,05/21/1997,0,0
53,Washington,0209,05/21/1997,0,0
53,Washington,0208,05/22/1997,0,0
53,Washington,0206,05/22/1997,6,6
49,Utah,D450,07/19/1993,0,0
49,Utah,D449,07/19/1993,0,0
49,Utah,D448,07/19/1993,0,0
49,Utah,D446,07/14/1993,3,3
49,Utah,D445,07/14/1993,0,0
49,Utah,D444,07/13/1993,0,0
49,Utah,D443,07/13/1993,0,0
49,Utah,D441,07/13/1993,0,0
49,Utah,D431,07/19/1993,0,0
49,Utah,D430,07/13/1993,0,0
49,Utah,D410,07/13/1993,0,0
49,Utah,C440,07/21/1993,0,0
49,Utah,C410,07/21/1993,0,0
49,Utah,C430,07/21/1993,3,4
4,Arizona,0602,09/25/1991,44,87
4,Arizona,0605,04/12/1991,1,5
53,Washington,0208,06/11/2008,0,0
4,Arizona,0605,09/25/1991,4,8
6,California,A443,11/18/1991,0,0
6,California,A412,11/18/1991,6,6
6,California,A421,11/18/1991,22,21
6,California,A411,11/18/1991,0,0
6,California,A423,11/18/1991,0,0
6,California,A441,11/18/1991,0,0
6,California,A442,11/18/1991,0,0
6,California,B453,01/11/1994,78,
6,California,B452,01/11/1994,33,
6,California,B451,01/11/1994,45,
6,California,B443,01/11/1994,67,
6,California,B442,01/11/1994,44,
6,California,B441,01/11/1994,56,
6,California,B430,01/11/1994,24,
6,California,B423,01/11/1994,50,
6,California,B413,01/11/1994,33,
6,California,B421,01/11/1994,60,
6,California,B420,01/11/1994,55,
6,California,B412,01/11/1994,47,
6,California,B411,01/11/1994,53,
6,California,B410,01/11/1994,38,
49,Utah,C450,01/29/1992,0,0
49,Utah,C453,01/29/1992,0,0
6,California,A410,11/18/1991,10,9
49,Utah,C451,01/29/1992,0,0
53,Washington,0212,06/11/2008,0,0
49,Utah,C458,01/28/1992,3,3
49,Utah,C454,01/29/1992,0,0
6,California,B423,12/04/1991,50,
49,Utah,C456,01/28/1992,10,10
49,Utah,C455,01/29/1992,0,0
49,Utah,C452,01/29/1992,0,0
49,Utah,C448,01/29/1992,0,0
49,Utah,C447,01/28/1992,0,3
6,California,B421,12/04/1991,60,
6,California,B412,12/04/1991,27,
6,California,B430,12/04/1991,18,
4,Arizona,0663,09/23/1991,0,0
6,California,B411,12/04/1991,47,
49,Utah,E441,07/10/1991,0,0
49,Utah,E454,09/24/1991,0,0
49,Utah,E444,07/10/1991,0,0
6,California,B452,12/04/1991,33,
6,California,B451,12/04/1991,45,
6,California,B443,12/04/1991,56,
6,California,B420,12/04/1991,48,
49,Utah,E410,07/10/1991,0,0
49,Utah,D431,09/12/1997,0,0
49,Utah,D461,09/12/1997,13,16
49,Utah,D452,09/12/1997,0,0
49,Utah,D454,09/12/1997,0,0
49,Utah,E462,09/23/1997,0,0
49,Utah,E459,09/23/1997,3,3
49,Utah,E455,09/23/1997,0,0
49,Utah,E440,09/23/1997,0,0
49,Utah,7085,09/22/1997,25,53
49,Utah,3015,10/08/1997,0,0
49,Utah,3010,10/06/1997,35,39
49,Utah,7083,09/29/1997,56,80
4,Arizona,0663,10/23/1997,0,0
49,Utah,E444,09/23/1997,0,0
49,Utah,E446,09/23/1997,0,0
49,Utah,E452,09/23/1997,0,0
49,Utah,E456,09/23/1997,15,17
49,Utah,E443,09/23/1997,0,0
49,Utah,E441,09/23/1997,0,0
49,Utah,E458,09/23/1997,15,15
49,Utah,E461,09/23/1997,0,0
4,Arizona,0220,11/03/1997,0,6
4,Arizona,0218,11/03/1997,3,12
4,Arizona,0224,11/04/1997,0,0
4,Arizona,0216,11/04/1997,0,0
