STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
27,Minnesota,1020,06/02/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PATCHES OF CORE HOLES BEFORE AND AFTER SECTION HAVE SETTLED 6-19MM 10CM CORES,3.599999905,0,2.5
27,Minnesota,1020,08/16/1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,33.79999924,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,,3.700000048,0,24.79999924
27,Minnesota,1020,08/15/2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,46.90000153,0,0,38.29999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.599999905,0,31.39999962
27,Minnesota,2018,06/02/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001,0,0,0.100000001,0,0,6,0,0,15.80000019,0,0,15.80000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,0,14.19999981
27,Minnesota,2018,08/16/1998,2,0,0,0,0,0,0,0,0,0,1.399999976,0,0,0,0,0,183,0,0,0,0,0,16,16,1,41.40000153,55.20000076,3.599999905,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,ADDED L-NWP CRACKING - ECOMPEX 20,3.799999952,1.399999976,96.40000153
27,Minnesota,2018,08/15/2000,3,0,0,0,0,0,0,0,0,0,28.39999962,0,0,25.39999962,0,0,198,0,0,198,0,0,34,0,1,103.9000015,0,3.599999905,100.9000015,0,3.599999905,2,0,0,9.699999809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.599999905,28.39999962,101.0999985
27,Minnesota,2023,06/02/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARKS FROM CONSTRUCTION TRAFFIC CORE HOLES BEFORE AND AFTER TEST SECTION,3.700000048,0,0
27,Minnesota,2023,08/16/1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60000038,0,0,0,0,0,14,4,0,48.29999924,12.80000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.799999952,0,61.09999847
27,Minnesota,2023,08/15/2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.20000076,0,0,58.20000076,0,0,17,0,0,61.40000153,0,0,61.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.599999905,0,61.40000153
29,Missouri,A310,04/27/2005,6,0,0,239.1999969,117.3000031,149.6000061,0,0,0,0,0,0,0,0,0,0,15.19999981,3.599999905,15.19999981,0,0,0,18,1,0,9.800000191,0.600000024,0,0,0,0,4,9,4,1.100000024,3.099999905,2.5,1,0,0,0.039999999,0,0,0,0,0,0,549,0,0,,3.599999905,304.7999878,0
