STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CRACK_OR_JOINT,CRACK_OR_JOINT_EXP,CONSTRUCTION_NO,AVG_EDGE_FAULT,AVG_WHEELPATH_FAULT
8,Colorado,0214,10/08/2015,J,Joint,1,-0.100000001,0
8,Colorado,0811,05/25/2017,J,Joint,1,0.5,0.899999976
53,Washington,0207,04/13/2017,J,Joint,4,0.200000003,0.5
18,Indiana,3031,10/19/2016,J,Joint,4,,
38,North Dakota,0220,09/24/2015,C,Crack,6,-1,0
53,Washington,0259,04/10/2017,J,Joint,1,0.5,0.5
46,South Dakota,3010,10/06/2015,J,Joint,2,0.200000003,0.300000012
8,Colorado,0214,05/22/2017,C,Crack,1,2,2
55,Wisconsin,0265,11/09/2015,J,Joint,2,0.300000012,0.5
8,Colorado,0221,05/24/2017,J,Joint,1,0.600000024,0.899999976
6,California,3017,03/07/2017,J,Joint,3,1.200000048,0.800000012
6,California,3017,03/07/2017,C,Crack,3,0,0
55,Wisconsin,0266,10/04/2004,J,Joint,1,0.100000001,0.100000001
19,Iowa,0222,08/24/2016,J,Joint,3,0.300000012,0.200000003
42,Pennsylvania,3044,09/11/2018,J,Joint,5,-0.100000001,-0.200000003
4,Arizona,0220,12/13/2016,J,Joint,1,0.600000024,0.300000012
4,Arizona,0218,12/12/2016,J,Joint,3,0.400000006,0.100000001
5,Arkansas,A602,06/19/2000,J,Joint,2,-0.200000003,0
1,Alabama,4007,03/30/1993,J,Joint,1,3.200000048,2.700000048
5,Arkansas,A605,03/10/2004,J,Joint,6,0.699999988,1.100000024
5,Arkansas,4019,06/21/2000,J,Joint,1,0,-0.200000003
47,Tennessee,0602,03/11/1996,J,Joint,1,3.099999905,3.599999905
5,Arkansas,A602,05/18/2005,J,Joint,5,0.800000012,
48,Texas,C410,05/10/1994,C,Crack,4,0.200000003,0.400000006
47,Tennessee,0605,07/23/2001,J,Joint,6,1.700000048,1.200000048
5,Arkansas,4021,09/10/1991,C,Crack,1,0,
13,Georgia,3015,03/18/1999,J,Joint,1,2.599999905,2.200000048
1,Alabama,3028,04/07/2000,J,Joint,2,7.199999809,7.5
40,Oklahoma,A430,09/27/1999,J,Joint,1,3.700000048,3.700000048
47,Tennessee,0605,06/11/2000,J,Joint,5,1.700000048,1
5,Arkansas,0213,06/29/2000,J,Joint,2,1.200000048,1
5,Arkansas,4019,08/05/1997,J,Joint,1,0.5,0.5
47,Tennessee,0601,03/11/1996,J,Joint,1,3.099999905,3.700000048
5,Arkansas,4023,08/06/1997,J,Joint,1,0.800000012,0.800000012
5,Arkansas,0221,11/20/1996,J,Joint,1,0,0
48,Texas,C430,06/26/1996,J,Joint,4,1.5,2.200000048
5,Arkansas,A603,09/12/1996,J,Joint,1,0.800000012,1.100000024
5,Arkansas,A604,09/12/1996,J,Joint,1,0.100000001,0.300000012
5,Arkansas,0216,10/08/2003,J,Joint,3,0.400000006,0.600000024
12,Florida,4138,04/21/1997,C,Crack,2,0,0
13,Georgia,3017,05/14/1997,J,Joint,1,2.200000048,2.099999905
13,Georgia,3018,05/14/1997,C,Crack,1,0,0
1,Alabama,3028,12/02/1997,J,Joint,1,7.5,7.300000191
5,Arkansas,A410,04/07/1998,C,Crack,2,0,0
40,Oklahoma,0601,11/16/1998,C,Crack,4,0,-0.200000003
40,Oklahoma,0605,11/18/1998,C,Crack,5,0,0
13,Georgia,3020,03/17/1999,C,Crack,1,0,1
13,Georgia,3018,03/19/1999,C,Crack,1,0,0
13,Georgia,3011,03/18/1999,J,Joint,1,1.799999952,1.799999952
12,Florida,3804,07/28/1999,C,Crack,1,2.5,2.799999952
1,Alabama,0601,09/30/1999,C,Crack,2,0,0
47,Tennessee,0662,03/13/1996,J,Joint,1,3.099999905,3
