STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,CORNER_BREAKS_NO_L,CORNER_BREAKS_NO_M,CORNER_BREAKS_NO_H,DURAB_CRACK_NO_L,DURAB_CRACK_NO_M,DURAB_CRACK_NO_H,DURAB_CRACK_A_L,DURAB_CRACK_A_M,DURAB_CRACK_A_H,LONG_CRACK_L_L,LONG_CRACK_L_M,LONG_CRACK_L_H,LONG_CRACK_SEAL_L_L,LONG_CRACK_SEAL_L_M,LONG_CRACK_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,JT_SEALED,JT_SEALED_EXP,JOINT_SEAL_TRANS_NO_L,JOINT_SEAL_TRANS_NO_M,JOINT_SEAL_TRANS_NO_H,LONG_JT_SEAL_NO,LONG_JT_SEAL_DAM_L,LONG_SPALLING_L_L,LONG_SPALLING_L_M,LONG_SPALLING_L_H,TRANS_SPALLING_NO_L,TRANS_SPALLING_NO_M,TRANS_SPALLING_NO_H,TRANS_SPALLING_L_L,TRANS_SPALLING_L_M,TRANS_SPALLING_L_H,SCALING_NO,SCALING_A,POLISH_AGG_A,BLOWUPS_NO,PATCH_FLEX_NO_L,PATCH_FLEX_NO_M,PATCH_FLEX_NO_H,PATCH_FLEX_A_L,PATCH_FLEX_A_M,PATCH_FLEX_A_H,PATCH_RIGID_NO_L,PATCH_RIGID_NO_M,PATCH_RIGID_NO_H,PATCH_RIGID_A_L,PATCH_RIGID_A_M,PATCH_RIGID_A_H,PUMPING_NO,PUMPING_L,OTHER,MAP_CRACK_NO,MAP_CRACK_A,SURVEY_WIDTH,CRACKED_SLABS_TRANS,CRACKED_SLABS_HALF,CRACKED_SLABS_TOTAL,SLAB_COUNT
32,Nevada,0207,06/25/2002,4,0,0,0,0,0,0,0,0,0,7.5,1.200000048,16.20000076,0,0,4.099999905,7,8,5,14.19999981,29.5,9,0,0,0.600000024,Y,Yes,31,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0.400000006,0,0,1,0,0,0.100000001,0,0,0,0,0,0,0,0,0,0,,0,0,4.300000191,16,11,19,34
49,Utah,E460,06/12/2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,No,,,,2,147,0,0,0.5,0,0,1,0,0,1.600000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,41
6,California,7493,01/21/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.800000012,0,0,0,0,0,Y,Yes,37,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOINTS WERE NEVER SEALED BUT APPEAR TO BE SEALED AFTER DIAMOND GRINDING IN 2000,4,35.29999924,3.599999905,1,0,1,37
53,Washington,3014,04/15/2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,0,13,30,2,152.5,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2.400000095,3.700000048,0,0,0,44
53,Washington,3019,04/14/2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,0,10,34,2,,0,0,0,2,1,0,0.600000024,0.300000012,0,0,0,274.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,43
8,Colorado,0215,06/09/2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,0,2,31,2,304.7999878,0.400000006,0,0.300000012,1,1,0,0.400000006,0.800000012,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,34
8,Colorado,A442,06/17/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,24,1,0,2,22.89999962,30.79999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,26
8,Colorado,A443,06/17/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,25,0,0,2,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,26
8,Colorado,A444,06/16/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,23,2,0,2,1,16.89999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,24
8,Colorado,A445,06/16/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,24,1,0,2,0,11.60000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,25
