STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,DURAB_CRACK_NO_L,DURAB_CRACK_NO_M,DURAB_CRACK_NO_H,DURAB_CRACK_A_L,DURAB_CRACK_A_M,DURAB_CRACK_A_H,LONG_CRACK_L_L,LONG_CRACK_L_M,LONG_CRACK_L_H,LONG_CRACK_SEAL_L_L,LONG_CRACK_SEAL_L_M,LONG_CRACK_SEAL_L_H,TRANS_CRACK_TOTAL_NO,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,MAP_CRACK_NO,MAP_CRACK_A,SCALING_NO,SCALING_A,POLISH_AGG_A,BLOWUPS_NO,CONST_JOINT_NO_L,CONST_JOINT_NO_M,CONST_JOINT_NO_H,PATCH_FLEX_NO_L,PATCH_FLEX_NO_M,PATCH_FLEX_NO_H,PATCH_FLEX_A_L,PATCH_FLEX_A_M,PATCH_FLEX_A_H,PATCH_RIGID_NO_L,PATCH_RIGID_NO_M,PATCH_RIGID_NO_H,PATCH_RIGID_A_L,PATCH_RIGID_A_M,PATCH_RIGID_A_H,PUNCHOUTS_NO_L,PUNCHOUTS_NO_M,PUNCHOUTS_NO_H,LONG_SPALLING_L_L,LONG_SPALLING_L_M,LONG_SPALLING_L_H,PUMPING_NO,PUMPING_L,LONG_JT_SEAL_NO,LONG_JT_SEAL_DAM_L,OTHER,SURVEY_WIDTH
22,Louisiana,0709,07/12/1994,2,0,0,0,0,0,0,0,0,0,0,0,0,128,127,1,0,455.3999939,3.700000048,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,22.20000076,0,0,0,0,0,0,0,0,4,17,2,14,,3.700000048
40,Oklahoma,4155,11/04/1992,1,0,0,0,0,0,0,0,0,0,0,0,0,134,134,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,3.700000048
22,Louisiana,0706,07/12/1994,2,0,0,0,0,0,0,0,0,0,0,0,0,89,59,28,2,211.6999969,97.30000305,7.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,2,5.5,,3.700000048
22,Louisiana,0702,07/12/1994,2,0,0,0,0,0,0,0,0,0,0,0,0,87,67,19,1,233.6999969,69.5,3.700000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,3.700000048
22,Louisiana,0703,07/12/1994,2,0,0,0,0,0,0,0,0,0,0,0,0,85,83,2,0,298.8999939,7.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,2,4,,3.700000048
22,Louisiana,0704,07/12/1994,2,0,0,0,0,0,0,0,0,0,0,0,0,104,102,2,0,356.3999939,7.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,3.700000048
22,Louisiana,0705,07/12/1994,2,0,0,0,0,0,0,0,0,0,0,0,0,86,85,1,0,267.2000122,3.700000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,2,15,,3.700000048
22,Louisiana,0709,12/09/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,448.2999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.79999924,0,0,0,0,0,0,0,0,0,0,2,13,,3.700000048
22,Louisiana,0705,12/08/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,59,59,0,0,186.1999969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,"LNG JT SEAL DAMAGE LEN SET TO NULL, UNABLE TO VALIDATE",3.700000048
22,Louisiana,0704,12/08/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,216.3999939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,"LNG JT SEAL DAMAGE LEN SET TO NULL, UNABLE TO VALIDATE",3.700000048
